platform,title,url,price,price_type,status,morph,traits,sex,weight_g,image_url
파사모,C7 릴리화이트 베이비 2g,https://cafe.naver.com/f-e/cafes/12440585/articles/5608043#c7-lilly,30000,FIXED,ACTIVE,릴리화이트,,UNKNOWN,2,
파사모,할인분양 릴리화이트 수컷 준성체 24.6g,https://cafe.naver.com/f-e/cafes/12440585/articles/5608060#lilly-male-24-6g,50000,FIXED,ACTIVE,릴리화이트,,MALE,24.6,https://cafeptthumb-phinf.pstatic.net/MjAyNjA3MTVfMjcg/MDAxNzg0MTAwMTgzMzcw.4vEH2qnQfAacSQibqbAl207V5pvZqpLJaMCbyHB69XEg.cDA6qYVNbQgyIbTnxmNwwlh6QBZgl95fzqmTZZiBNcYg.JPEG/SE-f1a232c2-453b-4e13-a437-3d85368cb2d3.jpg?type=w1600
파사모,100헷초초 릴리화이트 미구분 3g,https://cafe.naver.com/f-e/cafes/12440585/articles/5608044#lilly-het-choco-3g,200000,FIXED,ACTIVE,릴리화이트,,UNKNOWN,3,
