platform,title,url,price,price_type,status,morph,traits,sex,weight_g,image_url,classification_mode,status_evidence,review_reason
파사모,26.05.05 세이블 미구분,https://cafe.naver.com/f-e/cafes/12440585/articles/5609749#item-17,20000,FIXED,ACTIVE,세이블,,UNKNOWN,,,EXPLICIT,VISIBLE_OFFER_NO_COMPLETION,EXPLICIT_ITEM_FIXED_PRICE
파사모,26.04.11 릴리 미구분,https://cafe.naver.com/f-e/cafes/12440585/articles/5609749#item-18,100000,FIXED,ACTIVE,릴리화이트,,UNKNOWN,,,EXPLICIT,VISIBLE_OFFER_NO_COMPLETION,EXPLICIT_ITEM_FIXED_PRICE
파사모,26.05.15 노말 미구분,https://cafe.naver.com/f-e/cafes/12440585/articles/5609749#item-19,10000,FIXED,ACTIVE,,,UNKNOWN,,,UNCLASSIFIED,VISIBLE_OFFER_NO_COMPLETION,EXPLICIT_ITEM_FIXED_PRICE
파사모,26.05.02 핀트라이 미구분,https://cafe.naver.com/f-e/cafes/12440585/articles/5609749#item-20,30000,FIXED,ACTIVE,할리퀸,트라이컬러,UNKNOWN,,,EXPLICIT,VISIBLE_OFFER_NO_COMPLETION,EXPLICIT_ITEM_FIXED_PRICE
파사모,노멀 트익할 (암컷) 25.8.31 해칭 33g 점x,https://cafe.naver.com/f-e/cafes/12440585/articles/5609748#item-1,20000,FIXED,ACTIVE,할리퀸,트라이컬러|익스트림,FEMALE,33,,EXPLICIT,VISIBLE_OFFER_NO_COMPLETION,EXPLICIT_ITEM_FIXED_PRICE
파사모,노멀 트익할 (숫) 25.11.2 해칭 23g 점x,https://cafe.naver.com/f-e/cafes/12440585/articles/5609748#item-2,40000,FIXED,ACTIVE,할리퀸,트라이컬러|익스트림,MALE,23,,EXPLICIT,VISIBLE_OFFER_NO_COMPLETION,EXPLICIT_ITEM_FIXED_PRICE
파사모,노멀 트익할 (암) 25.10.27 해칭 22g 점x,https://cafe.naver.com/f-e/cafes/12440585/articles/5609748#item-3,30000,FIXED,ACTIVE,할리퀸,트라이컬러|익스트림,FEMALE,22,,EXPLICIT,VISIBLE_OFFER_NO_COMPLETION,EXPLICIT_ITEM_FIXED_PRICE
파사모,세이블 (미구분) 26.4.6 해칭 5g 점o,https://cafe.naver.com/f-e/cafes/12440585/articles/5609748#item-4,30000,FIXED,ACTIVE,세이블,,UNKNOWN,5,,EXPLICIT,VISIBLE_OFFER_NO_COMPLETION,EXPLICIT_ITEM_FIXED_PRICE
파사모,세이블 (미구분) 26.4.14 해칭 5g 점x,https://cafe.naver.com/f-e/cafes/12440585/articles/5609748#item-5,30000,FIXED,ACTIVE,세이블,,UNKNOWN,5,,EXPLICIT,VISIBLE_OFFER_NO_COMPLETION,EXPLICIT_ITEM_FIXED_PRICE
파사모,트익할 (미구분) 26.4.20 해칭 5g 점x,https://cafe.naver.com/f-e/cafes/12440585/articles/5609748#item-6,30000,FIXED,ACTIVE,할리퀸,트라이컬러|익스트림,UNKNOWN,5,,EXPLICIT,VISIBLE_OFFER_NO_COMPLETION,EXPLICIT_ITEM_FIXED_PRICE
파사모,트익할 (미구분) 26.5.2 해칭 5g 점x,https://cafe.naver.com/f-e/cafes/12440585/articles/5609748#item-7,30000,FIXED,ACTIVE,할리퀸,트라이컬러|익스트림,UNKNOWN,5,,EXPLICIT,VISIBLE_OFFER_NO_COMPLETION,EXPLICIT_ITEM_FIXED_PRICE
파사모,트익할 (미구분) 26.5.2 해칭 5g 점x,https://cafe.naver.com/f-e/cafes/12440585/articles/5609748#item-8,30000,FIXED,ACTIVE,할리퀸,트라이컬러|익스트림,UNKNOWN,5,,EXPLICIT,VISIBLE_OFFER_NO_COMPLETION,EXPLICIT_ITEM_FIXED_PRICE
파사모,트익할 (미구분) 26.5.19 해칭 4g 점x,https://cafe.naver.com/f-e/cafes/12440585/articles/5609748#item-9,30000,FIXED,ACTIVE,할리퀸,트라이컬러|익스트림,UNKNOWN,4,,EXPLICIT,VISIBLE_OFFER_NO_COMPLETION,EXPLICIT_ITEM_FIXED_PRICE
파사모,세이블 (미구분) 26.6.10 해칭 3g 점x,https://cafe.naver.com/f-e/cafes/12440585/articles/5609748#item-10,50000,FIXED,ACTIVE,세이블,,UNKNOWN,3,,EXPLICIT,VISIBLE_OFFER_NO_COMPLETION,EXPLICIT_ITEM_FIXED_PRICE
파사모,트익할 (미구분) 26.6.1 해칭 3g 점x,https://cafe.naver.com/f-e/cafes/12440585/articles/5609748#item-11,30000,FIXED,ACTIVE,할리퀸,트라이컬러|익스트림,UNKNOWN,3,,EXPLICIT,VISIBLE_OFFER_NO_COMPLETION,EXPLICIT_ITEM_FIXED_PRICE
파사모,트익할 (숫추) 26.4.19 해칭 6g 점x,https://cafe.naver.com/f-e/cafes/12440585/articles/5609748#item-12,50000,FIXED,ACTIVE,할리퀸,트라이컬러|익스트림,MALE,6,,EXPLICIT,VISIBLE_OFFER_NO_COMPLETION,EXPLICIT_ITEM_FIXED_PRICE
파사모,레드팬텀릴리 (미구분) 26.6.7 해칭 3g 점x,https://cafe.naver.com/f-e/cafes/12440585/articles/5609748#item-13,120000,FIXED,ACTIVE,릴리화이트,레드,UNKNOWN,3,,EXPLICIT,VISIBLE_OFFER_NO_COMPLETION,EXPLICIT_ITEM_FIXED_PRICE
파사모,노멀 (미구분) 26.7.3 해칭 2g 점x,https://cafe.naver.com/f-e/cafes/12440585/articles/5609748#item-14,20000,FIXED,ACTIVE,,,UNKNOWN,2,,UNCLASSIFIED,VISIBLE_OFFER_NO_COMPLETION,EXPLICIT_ITEM_FIXED_PRICE
